term,coef,std_err,z,p_value,odds_ratio,ci_low_or,ci_high_or,analysis_family
Intercept,0.8321060901339508,0.08282101967176984,10.047039911265186,9.466837431371816e-24,2.2981537659498117,1.953801362464494,2.703197384040765,encoding_rt_carryover
C(test_boundary_position)[T.mid],0.10110800529753229,0.0406332470167732,2.4883073030268887,0.01283527725912007,1.1063961319539408,1.0216989114092843,1.1981146178517095,encoding_rt_carryover
C(test_boundary_position)[T.pre],0.05337705852922068,0.04030110888992175,1.3244563238945737,0.18535153929440684,1.054827301775717,0.9747121182708565,1.141527447658396,encoding_rt_carryover
C(condition)[T.both],-0.13290044660411388,0.08760306217330438,-1.5170753545258278,0.12924765984863099,0.8755522519701284,0.7374164771793645,1.0395641671341476,encoding_rt_carryover
C(condition)[T.task_only],-0.1017457662779861,0.10288137432027195,-0.9889619666359561,0.3226817503964914,0.90325916141892,0.7383086920358748,1.1050623153811752,encoding_rt_carryover
C(item_role)[T.lure],-0.5981562186541801,0.07270280884566008,-8.22741553113854,1.9129593629435954e-16,0.549824458175329,0.4768021166340074,0.6340301862372907,encoding_rt_carryover
C(stimulus_class)[T.Scenes],-0.4207933212930394,0.04615345835549403,-9.117265233991915,7.704386178201452e-20,0.6565257772867666,0.5997429695273242,0.7186847001836437,encoding_rt_carryover
log_encoding_rt,-0.012357413432410464,0.02693120464462189,-0.45885112067863687,0.6463410815312045,0.9877186258623458,0.9369338709424001,1.0412560738081984,encoding_rt_carryover
