participant_uid,condition,mean_encoding_rt_post,mean_target_correctness_post
task_only_00057,task_only,2.0947333525065917,0.5
task_only_00058,task_only,2.119468039998901,0.45
task_only_00059,task_only,3.3440343699985533,0.7
task_only_00060,task_only,1.8569087624986422,0.75
task_only_00061,task_only,2.7595332524957485,0.95
task_only_00062,task_only,2.0408684499999254,0.8
task_only_00063,task_only,1.742817710000054,0.45
task_only_00064,task_only,2.9697622724983375,0.6
task_only_00065,task_only,1.8667287100000975,0.3
task_only_00066,task_only,1.5401137774999143,0.5
task_only_00067,task_only,3.10555194499957,0.8
task_only_00068,task_only,2.117761882497871,0.65
task_only_00069,task_only,2.6272799425001265,0.7
task_only_00070,task_only,1.641312445000949,0.6
task_only_00071,task_only,3.10555194499957,0.8
task_only_00072,task_only,3.13959240500335,0.0
