condition,condition_label,boundary_position,mean,std,median
item_only,Item Shift Only,mid,1.7825890675075529,0.5993752318054739,1.5827174676387
item_only,Item Shift Only,post,1.7665254436647897,0.5928447499343644,1.654146606253562
item_only,Item Shift Only,pre,1.8124114708163792,0.6239458428571961,1.663160861250077
both,Item + Task Shift,mid,1.70236447623737,0.46124025236341165,1.567577940000001
both,Item + Task Shift,post,1.9222938668473615,0.5147923814589778,1.7861661925038788
both,Item + Task Shift,pre,1.6796217079585631,0.53100842073342,1.5978924075003307
task_only,Task Shift Only,mid,2.163503363271443,0.5810469152425589,2.003812402500407
task_only,Task Shift Only,post,2.399087596501825,0.5619451554606533,2.2863296975003324
task_only,Task Shift Only,pre,2.1316081583265483,0.5757506778760227,2.086871707499813
