analysis_family,condition,condition_label,contrast,test,n,mean_difference,t_value,p_value,cohens_dz,p_value_holm,reject_holm
target_correctness,item_only,Item Shift Only,post - mid,paired_t,56,-0.005357142857142847,-0.24919894243213783,0.8041351966999335,-0.03330060941883795,1.0,False
target_correctness,item_only,Item Shift Only,post - pre,paired_t,56,0.0071428571428571504,0.3801929104360851,0.7052665418550026,0.05080541470472361,1.0,False
target_correctness,item_only,Item Shift Only,mid - pre,paired_t,56,0.012499999999999999,0.6881531337917131,0.4942486510401328,0.09195833058155,1.0,False
target_correctness,both,Item + Task Shift,post - mid,paired_t,49,-0.07346938775510205,-3.3363798669282976,0.0016446930532766388,-0.4766256952754711,0.004934079159829916,True
target_correctness,both,Item + Task Shift,post - pre,paired_t,49,-0.05102040816326532,-2.5353722167946966,0.014544862330232413,-0.362196030970671,0.029089724660464826,True
target_correctness,both,Item + Task Shift,mid - pre,paired_t,49,0.022448979591836737,1.08315041743295,0.28415280284251065,0.15473577391899285,0.28415280284251065,False
target_correctness,task_only,Task Shift Only,post - mid,paired_t,53,-0.037735849056603765,-1.8012986155230652,0.07745528158549159,-0.247427393668241,0.15491056317098317,False
target_correctness,task_only,Task Shift Only,post - pre,paired_t,53,-0.061320754716981146,-2.693713706624829,0.009489978727550526,-0.37001003385829995,0.02846993618265158,True
target_correctness,task_only,Task Shift Only,mid - pre,paired_t,53,-0.02358490566037736,-1.3947791348988012,0.16901232101633784,-0.19158764855356394,0.16901232101633784,False
