analysis_family,condition,condition_label,n,anova_f,anova_num_df,anova_den_df,anova_p_value,friedman_chi2,friedman_p_value,kendall_w
target_correctness,item_only,Item Shift Only,56,0.2060759493670837,2.0,110.0,0.8140847160030562,1.3560975609756276,0.507606478364557,0.01210801393728239
target_correctness,both,Item + Task Shift,49,6.445876627646991,2.0,96.0,0.002361889888560827,11.471910112359446,0.0032277981672002567,0.11706030726897393
target_correctness,task_only,Task Shift Only,53,4.618180816787352,2.0,104.0,0.011980266915529572,4.095238095238026,0.12904178044764075,0.03863432165318892
